break	enjoy	handle	headlight	lady	hard	five	dirty	also
burn	tap	hurt	cock_a_doodle_doo	cut	peck	poke	finger	lick
change	tap	Kate	rub	scissors	poke	burn	camera	lift
close	curtain	gosh	asleep	Andy_pandy	wake	Rachel	listen	climb
finish	Tigger	asleep	upside	alright	lie	all_gone	enjoy	cereal
lose	brush	swim	call	pizza	horn	asleep	phone	lady
open	shut	tear	send	hit	squeak	lady	headlight	Tigger
roll	j	ease	courgette	sailor	Tessy_bear	eskimo	dinosaur	h
stop	start	Tigger	also	Janet	peg	Minnie	Humpty	Grandpa
turn	round	bang	fasten	head	behind	neck	fur	handle
