break	twinkle	zoo	child	Sukie_Cat	Charlie_Chalk	love	quackquack	Heidi
burn	broke	Charlie_Chalk	happy_birthday	night_night	hooray	twinkle	zoo	cloth
close	ladybird	e	f	eskimo	d	granny	lettuce	c
dry	miss	take	trouser	chin	shuffle	stroke	broke	cloth
finish	bless	all_gone	carry	Daisy	hot	Mama	Tiny_Tears	burn
lose	shake	close	granny	well_done	wash	cut	daddy	merry
open	porridge	Heidi	brumm	shut	yep	pompom	seesaw	ringring
roll	trouser	top	pie	star	balloon	table	Grandad	king
stop	burn	hot	aye	Baa_baa_black_sheep	broke	hold	Charlie_Chalk	all_gone
turn	pompom	ringring	err	stream	brumm	twin	fetch	Ducky_Ducky
